股票代码,企业名称,年份,人工智能词频数,大数据词频数,云计算词频数,区块链词频数,数字技术运用词频数,数字化转型指数,标准化转型指数(0-100),总词频数
600866,星湖科技,1999,0,0,0,0,0,-0.11,0,0
600867,通化东宝,1999,0,0,0,0,0,-0.11,0,0
600868,梅雁股份,1999,0,0,0,0,0,-0.11,0,0
600869,青海三普,1999,0,0,0,0,0,-0.11,0,0
600870,ST厦华,1999,0,0,0,0,0,-0.11,0,0
600871,仪征化纤,1999,0,0,0,0,0,-0.11,0,0
600872,火炬高新,1999,0,0,0,0,0,-0.11,0,0
600873,西藏明珠,1999,0,0,0,0,0,-0.11,0,0
600874,创业环保,1999,0,0,0,0,0,-0.11,0,0
600875,东方电机,1999,0,0,0,0,0,-0.11,0,0
600876,洛阳玻璃,1999,0,0,0,0,0,-0.11,0,0
600877,中国嘉陵,1999,0,0,0,0,0,-0.11,0,0
600878,北大科技,1999,0,0,0,0,0,-0.11,0,0
600879,火箭股份,1999,0,0,0,0,0,-0.11,0,0
600880,博瑞传播,1999,0,0,0,0,0,-0.11,0,0
600881,亚泰集团,1999,0,0,0,0,0,-0.11,0,0
600882,大成股份,1999,0,0,0,0,0,-0.11,0,0
600883,富邦科技,1999,0,0,0,0,0,-0.11,0,0
600884,杉杉股份,1999,0,0,0,0,0,-0.11,0,0
600885,力诺工业,1999,0,0,0,0,0,-0.11,0,0
600886,湖北兴化,1999,0,0,0,0,0,-0.11,0,0
600887,伊利股份,1999,0,0,0,0,0,-0.11,0,0
600888,新疆众和,1999,0,0,0,0,0,-0.11,0,0
600889,南京化纤,1999,0,0,0,0,0,-0.11,0,0
600890,长春长铃,1999,0,0,0,0,0,-0.11,0,0
600891,秋林集团,1999,0,0,0,0,0,-0.11,0,0
600892,湖大科教,1999,0,0,0,0,0,-0.11,0,0
600893,ST吉发,1999,0,0,0,0,0,-0.11,0,0
600894,广钢股份,1999,0,0,0,0,0,-0.11,0,0
600895,张江高科,1999,0,0,0,0,0,-0.11,0,0
600896,中海海盛,1999,0,0,0,0,0,-0.11,0,0
600897,厦门机场,1999,0,0,0,0,0,-0.11,0,0
600898,PT郑百,1999,0,0,0,0,0,-0.11,0,0
600899,信联股份,1999,0,0,0,0,0,-0.11,0,0
000921,海信家电,2000,0,0,0,0,0,-0.1,11.34,0
600000,浦发银行,2000,0,0,0,0,0,-0.1,11.34,0
600001,邯郸钢铁,2000,0,0,0,0,0,-0.1,11.34,0
600002,齐鲁石化,2000,0,0,0,0,0,-0.1,11.34,0
600003,东北高速,2000,0,0,0,0,0,-0.1,11.34,0
600005,武钢股份,2000,0,0,0,0,0,-0.1,11.34,0
600006,东风汽车,2000,0,0,0,0,0,-0.1,11.34,0
600007,中国国贸,2000,0,0,0,0,0,-0.1,11.34,0
600008,首创股份,2000,0,0,0,0,0,-0.1,11.34,0
600009,上海机场,2000,0,0,0,0,0,-0.1,11.34,0
600010,钢联股份,2000,0,0,0,0,0,-0.1,11.34,0
600016,民生银行,2000,0,0,0,0,1,-0.03,12.23,1
600018,上港集箱,2000,0,0,0,0,0,-0.1,11.34,0
600019,宝钢股份,2000,0,0,0,0,7,0.34,17.58,7
600033,福建高速,2000,0,0,0,0,0,-0.1,11.34,0
600037,歌华有线,2000,0,1,0,0,1,1.47,33.69,2
600038,哈飞股份,2000,0,0,0,0,0,-0.1,11.34,0
600051,宁波联合,2000,0,0,0,0,0,-0.1,11.34,0
600052,浙江广厦,2000,0,0,0,0,1,-0.03,12.23,1
600053,江西纸业,2000,0,0,0,0,0,-0.1,11.34,0
600054,黄山旅游,2000,0,0,0,0,1,-0.03,12.23,1
600055,万东医疗,2000,0,0,0,0,0,-0.1,11.34,0
600056,中技贸易,2000,0,0,0,0,0,-0.1,11.34,0
600057,ST厦新,2000,0,0,0,0,0,-0.1,11.34,0
600058,龙腾科技,2000,0,0,0,0,11,0.59,21.15,11
600059,古越龙山,2000,0,0,0,0,0,-0.1,11.34,0
600060,海信电器,2000,0,0,0,0,1,-0.03,12.23,1
600061,中纺投资,2000,0,0,0,0,0,-0.1,11.34,0
600062,双鹤药业,2000,0,0,0,0,0,-0.1,11.34,0
600063,皖维高新,2000,0,0,0,0,0,-0.1,11.34,0
600064,南京高科,2000,0,0,0,0,0,-0.1,11.34,0
600065,大庆联谊,2000,0,0,0,0,0,-0.1,11.34,0
600066,宇通客车,2000,0,0,0,0,0,-0.1,11.34,0
600067,福州大通,2000,0,0,0,0,0,-0.1,11.34,0
600068,葛洲坝,2000,0,0,0,0,0,-0.1,11.34,0
600069,银鸽投资,2000,0,0,0,0,0,-0.1,11.34,0
600070,浙江富润,2000,0,0,0,0,0,-0.1,11.34,0
600071,凤凰光学,2000,0,0,0,0,0,-0.1,11.34,0
600072,江南重工,2000,0,0,0,0,0,-0.1,11.34,0
600073,上海梅林,2000,0,0,0,0,10,0.53,20.26,10
600074,南京中达,2000,0,0,0,0,0,-0.1,11.34,0
600075,新疆天业,2000,0,0,0,0,4,0.15,14.91,4
600076,青鸟华光,2000,0,0,0,0,0,-0.1,11.34,0
600077,国能集团,2000,0,0,0,0,3,0.09,14.02,3
600078,澄星股份,2000,0,0,0,0,0,-0.1,11.34,0
600079,人福科技,2000,0,0,0,0,0,-0.1,11.34,0
600080,金花股份,2000,1,0,0,0,0,-0.89,0,1
600081,东风科技,2000,0,0,0,0,1,-0.03,12.23,1
600082,海泰发展,2000,0,0,0,0,0,-0.1,11.34,0
600083,ST红光,2000,0,0,0,0,0,-0.1,11.34,0
600084,新天国际,2000,0,0,0,0,0,-0.1,11.34,0
600085,同仁堂,2000,0,0,0,0,4,0.15,14.91,4
600086,多佳股份,2000,0,0,0,0,0,-0.1,11.34,0
600087,南京水运,2000,0,0,0,0,0,-0.1,11.34,0
600088,中视传媒,2000,0,0,0,0,1,-0.03,12.23,1
600089,特变电工,2000,0,0,0,0,2,0.03,13.13,2
600090,啤酒花,2000,0,0,0,0,0,-0.1,11.34,0
600091,明天科技,2000,0,0,0,0,6,0.28,16.69,6
600092,精密股份,2000,0,0,0,0,0,-0.1,11.34,0
600093,禾嘉股份,2000,0,0,0,0,0,-0.1,11.34,0
600094,华源股份,2000,0,0,0,0,0,-0.1,11.34,0
600095,哈高科,2000,0,0,0,0,0,-0.1,11.34,0
600096,云天化,2000,0,0,0,0,0,-0.1,11.34,0
600097,华立科技,2000,0,0,0,0,0,-0.1,11.34,0
600098,广州控股,2000,0,0,0,0,1,-0.03,12.23,1
600099,林海股份,2000,0,0,0,0,0,-0.1,11.34,0
600100,清华同方,2000,0,0,0,0,7,0.34,17.58,7
600101,明星电力,2000,0,0,0,0,0,-0.1,11.34,0
600102,莱钢股份,2000,0,0,0,0,0,-0.1,11.34,0
600103,青山纸业,2000,0,0,0,0,0,-0.1,11.34,0
600104,上海汽车,2000,0,0,0,0,0,-0.1,11.34,0
600105,永鼎光缆,2000,0,0,0,0,0,-0.1,11.34,0
600106,重庆路桥,2000,0,0,0,0,1,-0.03,12.23,1
600107,美尔雅,2000,0,0,0,0,1,-0.03,12.23,1
600108,亚盛集团,2000,0,0,0,0,0,-0.1,11.34,0
600109,ST成百,2000,0,0,0,0,0,-0.1,11.34,0
600110,长春热缩,2000,0,0,0,0,0,-0.1,11.34,0
600111,稀土高科,2000,0,0,0,0,0,-0.1,11.34,0
600112,长征电器,2000,0,0,0,0,0,-0.1,11.34,0
600113,浙江东日,2000,0,0,0,0,0,-0.1,11.34,0
600115,东方航空,2000,0,0,0,0,2,0.03,13.13,2
600116,三峡水利,2000,0,0,0,0,0,-0.1,11.34,0
600117,西宁特钢,2000,0,0,0,0,0,-0.1,11.34,0
600118,中国泛旅,2000,0,0,0,0,3,0.09,14.02,3
600119,长江投资,2000,0,0,0,0,0,-0.1,11.34,0
600120,浙江东方,2000,0,0,0,0,0,-0.1,11.34,0
600121,郑州煤电,2000,0,0,0,0,1,-0.03,12.23,1
600122,宏图高科,2000,0,0,2,0,0,6.1,100,2
600123,兰花科创,2000,0,0,0,0,3,0.09,14.02,3
600125,铁龙股份,2000,0,0,0,0,0,-0.1,11.34,0
600126,杭钢股份,2000,0,0,0,0,1,-0.03,12.23,1
600127,金健米业,2000,0,0,0,0,1,-0.03,12.23,1
600128,弘业股份,2000,0,0,0,0,6,0.28,16.69,6
600129,太极集团,2000,0,0,0,0,0,-0.1,11.34,0
600130,波导股份,2000,0,0,0,0,0,-0.1,11.34,0
600131,岷江水电,2000,0,0,0,0,0,-0.1,11.34,0
600132,重庆啤酒,2000,0,0,0,0,0,-0.1,11.34,0
600133,东湖高新,2000,0,0,0,0,0,-0.1,11.34,0
600135,乐凯胶片,2000,0,0,0,0,0,-0.1,11.34,0
600136,道博股份,2000,0,0,0,0,0,-0.1,11.34,0
600137,长江控股,2000,0,0,0,0,0,-0.1,11.34,0
600138,青旅控股,2000,0,0,0,0,23,1.34,31.85,23
600139,鼎天科技,2000,0,0,0,0,0,-0.1,11.34,0
600141,兴发集团,2000,0,0,0,0,0,-0.1,11.34,0
600145,四维瓷业,2000,0,0,0,0,0,-0.1,11.34,0
600146,大元股份,2000,0,0,0,0,0,-0.1,11.34,0
600148,离合器,2000,0,0,0,0,0,-0.1,11.34,0
600149,邢台轧辊,2000,0,0,0,0,0,-0.1,11.34,0
600150,沪东重机,2000,0,0,0,0,1,-0.03,12.23,1
600151,航天机电,2000,0,0,0,0,0,-0.1,11.34,0
600152,维科精华,2000,0,0,0,0,0,-0.1,11.34,0
600153,厦门建发,2000,0,0,0,0,0,-0.1,11.34,0
600155,宝硕股份,2000,0,0,0,0,0,-0.1,11.34,0
600156,益鑫泰,2000,0,0,0,0,0,-0.1,11.34,0
600157,鲁润股份,2000,0,0,0,0,0,-0.1,11.34,0
600158,中体产业,2000,0,0,0,0,0,-0.1,11.34,0
600159,宁城老窖,2000,0,0,0,0,0,-0.1,11.34,0
600160,巨化股份,2000,0,0,0,0,3,0.09,14.02,3
600161,天坛生物,2000,0,0,0,0,0,-0.1,11.34,0
600162,山东临工,2000,0,0,0,0,0,-0.1,11.34,0
600163,福建南纸,2000,0,0,0,0,0,-0.1,11.34,0
600165,宁夏恒力,2000,0,0,0,0,0,-0.1,11.34,0
600166,福田汽车,2000,0,0,0,0,0,-0.1,11.34,0
600167,ST沈新,2000,0,0,0,0,0,-0.1,11.34,0
600168,武汉控股,2000,0,0,0,0,0,-0.1,11.34,0
600169,太原重工,2000,0,0,0,0,0,-0.1,11.34,0
600170,上海建工,2000,0,0,0,0,0,-0.1,11.34,0
600171,上海贝岭,2000,0,0,0,0,0,-0.1,11.34,0
600172,黄河旋风,2000,0,0,0,0,0,-0.1,11.34,0
600173,牡丹江,2000,0,0,0,0,4,0.15,14.91,4
600175,宝华实业,2000,0,0,0,0,0,-0.1,11.34,0
600176,中国化建,2000,0,0,0,0,0,-0.1,11.34,0
600177,雅戈尔,2000,0,0,0,0,0,-0.1,11.34,0
600178,东安动力,2000,0,0,0,0,0,-0.1,11.34,0
600179,黑化股份,2000,0,0,0,0,0,-0.1,11.34,0
600180,九发股份,2000,0,0,0,0,0,-0.1,11.34,0
600181,云大科技,2000,0,0,0,0,2,0.03,13.13,2
600182,桦林轮胎,2000,0,0,0,0,0,-0.1,11.34,0
600183,生益科技,2000,0,0,0,0,0,-0.1,11.34,0
600185,海星科技,2000,0,0,1,0,0,3,55.67,1
600186,莲花味精,2000,0,0,0,0,0,-0.1,11.34,0
600187,黑龙股份,2000,0,0,0,0,0,-0.1,11.34,0
600188,兖州煤业,2000,0,0,0,0,0,-0.1,11.34,0
600189,吉林森工,2000,0,0,0,0,0,-0.1,11.34,0
600190,锦州港,2000,0,0,0,0,1,-0.03,12.23,1
600191,华资实业,2000,0,0,0,0,2,0.03,13.13,2
600192,长城电工,2000,0,0,0,0,0,-0.1,11.34,0
600193,创兴科技,2000,0,0,0,0,1,-0.03,12.23,1
600195,中牧股份,2000,0,0,0,0,1,-0.03,12.23,1
600196,复星实业,2000,0,0,0,0,6,0.28,16.69,6
600197,伊力特,2000,0,0,0,0,1,-0.03,12.23,1
600198,大唐电信,2000,0,0,0,0,1,-0.03,12.23,1
600199,金牛实业,2000,0,0,0,0,22,1.27,30.96,22
600200,江苏吴中,2000,0,0,0,0,0,-0.1,11.34,0
600201,金宇集团,2000,0,0,0,0,0,-0.1,11.34,0
600202,哈空调,2000,0,0,0,0,0,-0.1,11.34,0
600203,福日股份,2000,0,0,0,0,0,-0.1,11.34,0
600205,山东铝业,2000,0,0,0,0,0,-0.1,11.34,0
600206,有研硅股,2000,0,0,0,0,0,-0.1,11.34,0
600207,安彩高科,2000,0,0,0,0,0,-0.1,11.34,0
600208,中宝股份,2000,0,0,0,0,0,-0.1,11.34,0
600209,罗顿发展,2000,0,0,0,0,0,-0.1,11.34,0
600210,紫江企业,2000,0,0,0,0,0,-0.1,11.34,0
600211,西藏药业,2000,0,0,0,0,0,-0.1,11.34,0
600212,江泉实业,2000,0,0,0,0,0,-0.1,11.34,0
600213,亚星客车,2000,0,0,0,0,0,-0.1,11.34,0
600215,长春经开,2000,0,0,0,0,0,-0.1,11.34,0
600216,浙江医药,2000,0,0,0,0,0,-0.1,11.34,0
600217,秦岭水泥,2000,0,0,0,0,0,-0.1,11.34,0
600218,全柴动力,2000,0,0,0,0,0,-0.1,11.34,0
600219,南山实业,2000,0,0,0,0,0,-0.1,11.34,0
600220,江苏阳光,2000,0,0,0,0,0,-0.1,11.34,0
600221,海南航空,2000,0,0,0,0,0,-0.1,11.34,0
600222,竹林众生,2000,0,0,0,0,0,-0.1,11.34,0
600223,万杰高科,2000,0,0,0,0,0,-0.1,11.34,0
600225,天香集团,2000,0,0,0,0,0,-0.1,11.34,0
600226,升华拜克,2000,0,0,0,0,0,-0.1,11.34,0
600227,赤天化,2000,0,0,0,0,0,-0.1,11.34,0
600228,昌九股份,2000,0,0,0,0,0,-0.1,11.34,0
600229,青岛碱业,2000,0,0,0,0,0,-0.1,11.34,0
600230,沧州大化,2000,0,0,0,0,0,-0.1,11.34,0
600231,凌钢股份,2000,0,0,0,0,0,-0.1,11.34,0
600232,金鹰股份,2000,0,0,0,0,0,-0.1,11.34,0
600233,大连创世,2000,0,0,0,0,0,-0.1,11.34,0
600234,天龙集团,2000,0,0,0,0,2,0.03,13.13,2
600235,民丰特纸,2000,0,0,0,0,0,-0.1,11.34,0
600236,桂冠电力,2000,0,0,0,0,0,-0.1,11.34,0
600237,铜峰电子,2000,0,0,0,0,0,-0.1,11.34,0
600238,海南椰岛,2000,0,0,0,0,0,-0.1,11.34,0
600239,红河光明,2000,0,0,0,0,0,-0.1,11.34,0
600240,仕奇实业,2000,0,0,0,0,0,-0.1,11.34,0
600241,辽宁时代,2000,0,0,0,0,0,-0.1,11.34,0
600242,华龙集团,2000,0,0,0,0,0,-0.1,11.34,0
600243,青海华鼎,2000,0,0,0,0,0,-0.1,11.34,0
600246,先锋股份,2000,0,0,0,0,0,-0.1,11.34,0
600247,物华股份,2000,0,0,0,0,1,-0.03,12.23,1
600248,秦丰农业,2000,0,0,0,0,0,-0.1,11.34,0
600250,南纺股份,2000,0,0,0,0,0,-0.1,11.34,0
600252,梧州中恒,2000,0,0,0,0,0,-0.1,11.34,0
600253,天方药业,2000,0,0,0,0,0,-0.1,11.34,0
600255,鑫科材料,2000,0,0,0,0,0,-0.1,11.34,0
600256,广汇股份,2000,0,0,0,0,9,0.46,19.37,9
600257,洞庭水殖,2000,0,0,0,0,0,-0.1,11.34,0
600258,首旅股份,2000,0,0,0,0,0,-0.1,11.34,0
600259,兴业聚酯,2000,0,0,0,0,0,-0.1,11.34,0
600260,凯乐科技,2000,0,0,0,0,0,-0.1,11.34,0
600261,浙江阳光,2000,0,0,0,0,0,-0.1,11.34,0
600262,北方股份,2000,0,0,0,0,0,-0.1,11.34,0
600263,路桥建设,2000,0,0,0,0,0,-0.1,11.34,0
600265,景谷林业,2000,0,0,0,0,0,-0.1,11.34,0
600266,北京城建,2000,0,0,0,0,0,-0.1,11.34,0
600267,海正药业,2000,0,0,0,0,0,-0.1,11.34,0
600268,国电南自,2000,0,0,0,0,0,-0.1,11.34,0
600269,赣粤高速,2000,0,0,0,0,1,-0.03,12.23,1
600270,外运发展,2000,0,0,0,0,1,-0.03,12.23,1
600272,开开实业,2000,0,0,0,0,1,-0.03,12.23,1
600275,武昌鱼,2000,0,0,0,0,0,-0.1,11.34,0
600276,恒瑞医药,2000,0,0,0,0,0,-0.1,11.34,0
600277,亿利科技,2000,0,0,0,0,0,-0.1,11.34,0
600278,东方创业,2000,0,0,0,0,0,-0.1,11.34,0
600279,重庆港九,2000,0,0,0,0,3,0.09,14.02,3
600280,南京中商,2000,0,0,0,0,0,-0.1,11.34,0
600281,太化股份,2000,0,0,0,0,0,-0.1,11.34,0
600282,南钢股份,2000,0,0,0,0,0,-0.1,11.34,0
600283,钱江水利,2000,0,0,0,0,0,-0.1,11.34,0
600285,羚锐股份,2000,0,0,0,0,0,-0.1,11.34,0
600286,国光瓷业,2000,0,0,0,0,0,-0.1,11.34,0
600287,江苏舜天,2000,0,0,0,0,2,0.03,13.13,2
600288,大恒科技,2000,0,0,0,0,0,-0.1,11.34,0
600289,亿阳信通,2000,0,0,0,0,3,0.09,14.02,3
600290,苏福马,2000,0,0,0,0,0,-0.1,11.34,0
600291,西水股份,2000,0,0,0,0,0,-0.1,11.34,0
600292,九龙电力,2000,0,0,0,0,0,-0.1,11.34,0
600293,三峡新材,2000,0,0,0,0,0,-0.1,11.34,0
600295,鄂尔多斯,2000,0,0,0,0,0,-0.1,11.34,0
600296,兰州铝业,2000,0,0,0,0,0,-0.1,11.34,0
600297,美罗药业,2000,0,0,0,0,0,-0.1,11.34,0
600298,安琪酵母,2000,0,0,0,0,0,-0.1,11.34,0
600299,星新材料,2000,0,0,0,0,0,-0.1,11.34,0
600300,维维股份,2000,0,0,0,0,0,-0.1,11.34,0
600301,南化股份,2000,0,0,0,0,0,-0.1,11.34,0
600302,标准股份,2000,0,0,0,0,0,-0.1,11.34,0
600303,曙光股份,2000,0,0,0,0,0,-0.1,11.34,0
600305,恒顺醋业,2000,0,0,0,0,0,-0.1,11.34,0
600306,商业城,2000,0,0,0,0,0,-0.1,11.34,0
600307,酒钢宏兴,2000,0,0,0,0,0,-0.1,11.34,0
600308,华泰股份,2000,0,0,0,0,0,-0.1,11.34,0
600309,烟台万华,2000,0,0,0,0,0,-0.1,11.34,0
600313,中农资源,2000,0,0,0,0,0,-0.1,11.34,0
600316,洪都航空,2000,0,0,0,0,0,-0.1,11.34,0
600318,巢东股份,2000,0,0,0,0,0,-0.1,11.34,0
600320,振华港机,2000,0,0,0,0,0,-0.1,11.34,0
600323,南海发展,2000,0,0,0,0,0,-0.1,11.34,0
600326,西藏天路,2000,0,0,0,0,0,-0.1,11.34,0
600328,兰太实业,2000,0,0,0,0,0,-0.1,11.34,0
600330,天通股份,2000,0,0,0,0,0,-0.1,11.34,0
600332,广州药业,2000,0,0,0,0,0,-0.1,11.34,0
600333,长春燃气,2000,0,0,0,0,0,-0.1,11.34,0
600335,中发展,2000,0,0,0,0,1,-0.03,12.23,1
600336,澳柯玛,2000,0,0,0,0,0,-0.1,11.34,0
600337,美克股份,2000,0,0,0,0,0,-0.1,11.34,0
600338,珠峰摩托,2000,0,0,0,0,0,-0.1,11.34,0
600339,天利高新,2000,0,0,0,0,0,-0.1,11.34,0
600345,长江通信,2000,0,0,0,0,0,-0.1,11.34,0
600358,国旅联合,2000,0,0,0,0,7,0.34,17.58,7
600359,新农开发,2000,0,0,0,0,0,-0.1,11.34,0
600363,联创光电,2000,0,0,0,0,0,-0.1,11.34,0
600365,通葡萄酒,2000,0,0,0,0,0,-0.1,11.34,0
600366,宁波韵升,2000,0,0,0,0,0,-0.1,11.34,0
600367,红星发展,2000,0,0,0,0,0,-0.1,11.34,0
600368,五洲交通,2000,0,0,0,0,0,-0.1,11.34,0
600369,长运股份,2000,0,0,0,0,0,-0.1,11.34,0
600377,宁沪高速,2000,0,0,0,0,0,-0.1,11.34,0
600378,天科股份,2000,0,0,0,0,0,-0.1,11.34,0
600382,广东明珠,2000,0,0,0,0,0,-0.1,11.34,0
600386,北京巴士,2000,0,0,0,0,2,0.03,13.13,2
600388,龙净环保,2000,0,0,0,0,0,-0.1,11.34,0
600389,江山股份,2000,0,0,0,0,0,-0.1,11.34,0
600390,金瑞科技,2000,0,0,0,0,0,-0.1,11.34,0
600398,凯诺科技,2000,0,0,0,0,0,-0.1,11.34,0
600399,抚顺特钢,2000,0,0,0,0,0,-0.1,11.34,0
600400,红豆股份,2000,0,0,0,0,0,-0.1,11.34,0
600422,昆明制药,2000,0,0,0,0,0,-0.1,11.34,0
600500,中化国际,2000,0,0,0,0,3,0.09,14.02,3
600518,康美药业,2000,0,0,0,0,0,-0.1,11.34,0
600600,青岛啤酒,2000,0,0,0,0,2,0.03,13.13,2
600601,方正科技,2000,0,0,0,0,15,0.84,24.72,15
600602,广电电子,2000,0,0,0,0,0,-0.1,11.34,0
600603,ST兴业,2000,0,0,0,0,0,-0.1,11.34,0
600604,二纺机,2000,0,0,0,0,0,-0.1,11.34,0
600605,轻工机械,2000,0,0,0,0,0,-0.1,11.34,0
600606,金丰投资,2000,0,0,0,0,4,0.15,14.91,4
600607,上实联合,2000,0,0,0,0,18,1.02,27.39,18
600608,上海科技,2000,0,0,0,0,1,-0.03,12.23,1
600609,金杯汽车,2000,0,0,0,0,0,-0.1,11.34,0
600610,ST中纺,2000,0,0,0,0,0,-0.1,11.34,0
600611,大众交通,2000,0,0,0,0,1,-0.03,12.23,1
600612,第一铅笔,2000,0,0,0,0,0,-0.1,11.34,0
600613,永生数据,2000,0,0,0,0,0,-0.1,11.34,0
600614,胶带股份,2000,0,0,0,0,0,-0.1,11.34,0
600615,丰华股份,2000,0,0,0,0,0,-0.1,11.34,0
600616,第一食品,2000,0,0,0,0,12,0.65,22.04,12
600617,联华合纤,2000,0,0,0,0,0,-0.1,11.34,0
600618,氯碱化工,2000,0,0,0,0,0,-0.1,11.34,0
600619,海立股份,2000,0,0,0,0,0,-0.1,11.34,0
600620,天宸股份,2000,0,0,0,0,0,-0.1,11.34,0
600621,上海金陵,2000,0,0,0,0,0,-0.1,11.34,0
600622,ST嘉宝,2000,0,0,0,0,0,-0.1,11.34,0
600623,轮胎橡胶,2000,0,0,0,0,0,-0.1,11.34,0
600624,复旦复华,2000,0,0,0,0,0,-0.1,11.34,0
600625,PT水仙,2000,0,0,0,0,0,-0.1,11.34,0
600626,申达股份,2000,0,0,0,0,4,0.15,14.91,4
600627,电器股份,2000,0,0,0,0,0,-0.1,11.34,0
600628,新世界,2000,0,0,0,0,0,-0.1,11.34,0
600629,ST棱光,2000,0,0,0,0,0,-0.1,11.34,0
600630,龙头股份,2000,0,0,0,0,1,-0.03,12.23,1
600631,第一百货,2000,0,0,0,0,10,0.53,20.26,10
600632,华联商厦,2000,0,0,0,0,0,-0.1,11.34,0
600633,白猫股份,2000,0,0,0,0,0,-0.1,11.34,0
600634,海鸟发展,2000,0,0,0,0,0,-0.1,11.34,0
600635,大众科创,2000,0,0,0,0,2,0.03,13.13,2
600636,三爱富,2000,0,0,0,0,0,-0.1,11.34,0
600637,广电信息,2000,0,0,0,0,2,0.03,13.13,2
600638,新黄浦,2000,0,0,0,0,0,-0.1,11.34,0
600639,浦东金桥,2000,0,0,0,0,0,-0.1,11.34,0
600640,联通国脉,2000,0,0,0,0,1,-0.03,12.23,1
600641,中远发展,2000,0,0,0,0,0,-0.1,11.34,0
600642,申能股份,2000,0,0,0,0,0,-0.1,11.34,0
600643,爱建股份,2000,0,0,0,0,0,-0.1,11.34,0
600644,乐山电力,2000,0,0,0,0,0,-0.1,11.34,0
600645,望春花,2000,0,0,0,0,0,-0.1,11.34,0
600646,ST国嘉,2000,0,0,0,0,34,2.02,41.66,34
600647,ST同达,2000,0,0,0,0,0,-0.1,11.34,0
600648,外高桥,2000,0,0,0,0,1,-0.03,12.23,1
600649,原水股份,2000,0,0,0,0,0,-0.1,11.34,0
600650,新锦江,2000,0,0,0,0,0,-0.1,11.34,0
600651,飞乐音响,2000,0,0,0,0,1,-0.03,12.23,1
600652,爱使股份,2000,0,0,0,0,0,-0.1,11.34,0
600653,申华控股,2000,0,0,0,0,20,1.15,29.17,20
600654,飞乐股份,2000,0,0,0,0,0,-0.1,11.34,0
600655,豫园商城,2000,0,0,0,0,0,-0.1,11.34,0
600656,华源制药,2000,0,0,0,0,0,-0.1,11.34,0
600657,青鸟天桥,2000,0,1,0,0,8,1.9,39.94,9
600658,兆维科技,2000,0,0,0,0,0,-0.1,11.34,0
600659,神龙发展,2000,0,0,0,0,0,-0.1,11.34,0
600660,福耀玻璃,2000,0,0,0,0,0,-0.1,11.34,0
600661,交大南洋,2000,0,0,0,0,0,-0.1,11.34,0
600662,强生控股,2000,0,0,0,0,0,-0.1,11.34,0
600663,陆家嘴,2000,0,0,0,0,0,-0.1,11.34,0
600664,哈药集团,2000,0,0,0,0,0,-0.1,11.34,0
600665,沪昌特钢,2000,0,0,0,0,0,-0.1,11.34,0
600666,西南药业,2000,0,0,0,0,0,-0.1,11.34,0
600667,太极实业,2000,0,0,0,0,0,-0.1,11.34,0
600668,尖峰集团,2000,0,0,0,0,0,-0.1,11.34,0
600669,ST鞍合,2000,0,0,0,0,0,-0.1,11.34,0
600670,ST高斯,2000,0,0,0,0,0,-0.1,11.34,0
600671,天目药业,2000,0,0,0,0,0,-0.1,11.34,0
600672,英豪科教,2000,0,0,0,0,0,-0.1,11.34,0
600673,成量股份,2000,0,0,0,0,0,-0.1,11.34,0
600674,川投控股,2000,0,0,0,0,0,-0.1,11.34,0
600675,中华企业,2000,0,0,0,0,3,0.09,14.02,3
600676,交运股份,2000,0,0,0,0,0,-0.1,11.34,0
600677,航天中汇,2000,0,0,0,0,0,-0.1,11.34,0
600678,四川金顶,2000,0,0,0,0,0,-0.1,11.34,0
600679,凤凰股份,2000,0,0,0,0,0,-0.1,11.34,0
600680,上海邮通,2000,0,0,0,0,0,-0.1,11.34,0
600681,诚成文化,2000,0,0,0,0,1,-0.03,12.23,1
600682,南京新百,2000,0,0,0,0,0,-0.1,11.34,0
600683,宁波华联,2000,0,0,0,0,0,-0.1,11.34,0
600684,珠江实业,2000,0,0,0,0,0,-0.1,11.34,0
600685,广船国际,2000,0,0,0,0,0,-0.1,11.34,0
600686,厦门汽车,2000,0,0,0,0,0,-0.1,11.34,0
600687,新宇软件,2000,0,0,0,0,0,-0.1,11.34,0
600688,上海石化,2000,0,0,0,0,0,-0.1,11.34,0
600689,上海三毛,2000,0,0,0,0,0,-0.1,11.34,0
600690,青岛海尔,2000,0,0,0,0,11,0.59,21.15,11
600691,东新电碳,2000,0,0,0,0,0,-0.1,11.34,0
600692,亚通股份,2000,0,0,0,0,0,-0.1,11.34,0
600693,东百集团,2000,0,0,0,0,0,-0.1,11.34,0
600694,大商股份,2000,0,0,0,0,0,-0.1,11.34,0
600695,大江股份,2000,0,0,0,0,0,-0.1,11.34,0
600696,利嘉股份,2000,0,0,0,0,0,-0.1,11.34,0
600697,欧亚集团,2000,0,0,0,0,0,-0.1,11.34,0
600698,ST轻骑,2000,0,0,0,0,0,-0.1,11.34,0
600699,辽源得亨,2000,0,0,0,0,0,-0.1,11.34,0
600700,数码测绘,2000,0,2,0,0,0,2.9,54.26,2
600701,工大高新,2000,1,0,0,0,0,-0.89,0,1
600702,沱牌曲酒,2000,0,0,0,0,0,-0.1,11.34,0
600703,天颐科技,2000,0,0,0,0,0,-0.1,11.34,0
600704,中大股份,2000,0,0,0,0,2,0.03,13.13,2
600705,北亚集团,2000,0,0,0,0,0,-0.1,11.34,0
